0000 | 13a6
bb80 | 171b
bb90 | 17cb
bba0 | 4a26
bbb0 | 49a9
bbc0 | 49db
bbd0 | 4b6f
bbe0 | 49db
bbf0 | 49c2
bc00 | 1702
bc10 | 1701
bc20 | 171b
bc30 | 1702
bc40 | 4b56
bc50 | 4b3c
bc60 | 1701
bc70 | 171b
bc80 | 1701
bc90 | 171b
bca0 | 171a
bcb0 | 171b
bcc0 | 1701
bcd0 | 1702
bce0 | 171b
bcf0 | 1701
bd00 | 1702
bd10 | 1701
bd20 | 1701
bd30 | 1702
bd40 | 171a
bd50 | 171a
bd60 | 495c
bd70 | 4943
bd80 | 49c2
bd90 | 4a59
bda0 | 171b
bdb0 | 171b
bdc0 | 49c2
bdd0 | 4814
bde0 | 4795
bdf0 | 47c8
be00 | 15ec
be10 | 1701
be20 | 1701
be30 | 16e9
be40 | 4a27
be50 | 49da
be60 | 15d2
be70 | 15eb
be80 | 15ec
be90 | 1702
bea0 | 49db
beb0 | 4a8b
bec0 | 1701
bed0 | 15ec
bee0 | 15ec
bef0 | 15d2
bf00 | 48ac
bf10 | 4a8c
bf20 | 4b6f
bf30 | 4a26
bf40 | 495c
bf50 | 47fa
bf60 | 15eb
bf70 | 1604
bf80 | 1605
bf90 | 1702
bfa0 | 4a5a
bfb0 | 4a72
bfc0 | 4a27
bfd0 | 47fa
bfe0 | 15ec
bff0 | 1605
c000 | 15eb
c010 | 171a
c020 | 4b24
c030 | 4a72
c040 | 4abe
c050 | 495c
c060 | 15ec
c070 | 1604
c080 | 1605
c090 | 1734
c0a0 | 171b
c0b0 | 171b
c0c0 | 171b
c0d0 | 16e8
c0e0 | 1701
c0f0 | 16e8
c100 | 4aa5
c110 | 4b88
c120 | 4b0a
c130 | 4af1
c140 | 17fe
c150 | 16e8
c160 | 16e8
c170 | 16e8
c180 | 16e9
c190 | 17fe
c1a0 | 17ff
c1b0 | 17fe
c1c0 | 1831
c1d0 | 16e8
c1e0 | 16e8
c1f0 | 1702
c200 | 1701
c210 | 17fe
c220 | 17fe
c230 | 17e5
c240 | 17fe
c250 | 15d2
c260 | 13a6
c270 | 15d2
c280 | 15eb
c290 | 15d2
c2a0 | 15eb
c2b0 | 15ec
c2c0 | 13c0
c2d0 | 13bf
c2e0 | 13bf
c2f0 | 13a6
c300 | 13a6
c310 | 13a6
c320 | 13bf
c330 | 15d2
c340 | 15d2
c350 | 13bf
c360 | 13bf
c370 | 13a6
c380 | 451e
c390 | 47fb
c3a0 | 4911
c3b0 | 4846
c3c0 | 47fa
c3d0 | 4550
c3e0 | 451d
c3f0 | 44d2
c400 | 13c0
c410 | 15eb
c420 | 15d3
c430 | 15d2
c440 | 4795
c450 | 44eb
c460 | 13bf
c470 | 13a6
c480 | 13bf
c490 | 15eb
c4a0 | 15d2
c4b0 | 15d2
c4c0 | 15d2
c4d0 | 14d5
c4e0 | 4666
c4f0 | 4666
c500 | 14d5
c510 | 171b
c520 | 4aa5
c530 | 4b0a
c540 | 4b3d
c550 | 4814
c560 | 46cb
c570 | 46e4
c580 | 4666
c590 | 48f8
c5a0 | 1701
c5b0 | 1701
c5c0 | 16e8
c5d0 | 14bc
c5e0 | 4717
c5f0 | 47fa
c600 | 14d6
c610 | 1702
c620 | 16e8
c630 | 16cf
c640 | 16e8
c650 | 14bc
c660 | 14d5
c670 | 14bc
c680 | 46e4
c690 | 4976
c6a0 | 498f
c6b0 | 495c
c6c0 | 1701
c6d0 | 14bc
c6e0 | 14bc
c6f0 | 14bc
c700 | 14bc
c710 | 16cf
c720 | 492a
c730 | 49c1
c740 | 1701
c750 | 14d6
c760 | 464d
c770 | 4667
c780 | 14bc
c790 | 16e9
c7a0 | 16e8
c7b0 | 1702
c7c0 | 16e8
c7d0 | 171b
c7e0 | 1701
c7f0 | 171a
c800 | 1702
c810 | 171b
c820 | 171a
c830 | 1701
c840 | 1701
c850 | 171a
c860 | 171a
c870 | 171b
c880 | 171b
c890 | 1701
c8a0 | 4a8c
c8b0 | 4b0b
c8c0 | 4c21
c8d0 | 4b56
c8e0 | 171a
c8f0 | 1734
c900 | 171b
c910 | 171a
c920 | 171b
c930 | 1734
c940 | 4a0d
c950 | 498f
c960 | 1702
c970 | 171b
c980 | 171b
c990 | 171b
c9a0 | 4943
c9b0 | 495c
c9c0 | 4976
c9d0 | 49c2
c9e0 | 495c
c9f0 | 4943
ca00 | 49f4
ca10 | 49db
ca20 | 4910
ca30 | 4910
ca40 | 4a0e
ca50 | 4a27
ca60 | 4af1
ca70 | 4a8c
ca80 | 171a
ca90 | 171b
caa0 | 495c
cab0 | 4976
cac0 | 49db
cad0 | 47fb
cae0 | 15d2
caf0 | 15eb
cb00 | 15eb
cb10 | 1702
cb20 | 4b0a
cb30 | 4b6f
cb40 | 1701
cb50 | 1604
cb60 | 4860
cb70 | 4846
cb80 | 4892
cb90 | 49da
cba0 | 16e8
cbb0 | 1702
cbc0 | 48f7
cbd0 | 4878
cbe0 | 47af
cbf0 | 4814
cc00 | 15eb
cc10 | 171b
cc20 | 1702
cc30 | 171b
cc40 | 171b
cc50 | 15eb
cc60 | 4847
cc70 | 48de
cc80 | 1605
cc90 | 1734
cca0 | 4abe
ccb0 | 4c07
ccc0 | 495c
ccd0 | 47fa
cce0 | 47fb
ccf0 | 47fa
cd00 | 1605
cd10 | 171b
cd20 | 1702
cd30 | 171b
cd40 | 171a
cd50 | 15ec
cd60 | 4860
cd70 | 4814
cd80 | 15ec
cd90 | 171a
cda0 | 1701
cdb0 | 1701
cdc0 | 4b24
cdd0 | 4a5a
cde0 | 4a27
cdf0 | 49c2
ce00 | 16e8
ce10 | 17fe
ce20 | 4ad7
ce30 | 4b23
ce40 | 4ad8
ce50 | 49da
ce60 | 1702
ce70 | 16e8
ce80 | 1702
ce90 | 17fe
cea0 | 17fe
ceb0 | 17fe
cec0 | 4aa5
ced0 | 4976
cee0 | 1701
cef0 | 1701
cf00 | 495d
cf10 | 4af0
cf20 | 1817
cf30 | 17fe
cf40 | 1817
cf50 | 15eb
cf60 | 44eb
cf70 | 47fa
cf80 | 15eb
cf90 | 1604
cfa0 | 15eb
cfb0 | 15eb
cfc0 | 13bf
cfd0 | 13bf
cfe0 | 13a6
cff0 | 13bf
d000 | 13c0
d010 | 13d8
d020 | 13bf
d030 | 15eb
d040 | 4813
d050 | 4569
d060 | 13bf
d070 | 13bf
d080 | 451d
d090 | 4879
d0a0 | 48de
d0b0 | 4878
d0c0 | 4910
d0d0 | 461a
d0e0 | 4537
d0f0 | 4550
d100 | 4583
d110 | 4814
d120 | 4893
d130 | 4814
d140 | 47e2
d150 | 45b5
d160 | 13bf
d170 | 13a6
d180 | 13bf
d190 | 15eb
d1a0 | 4d1d
d1b0 | 48ab
d1c0 | 15d2
d1d0 | 14ee
d1e0 | 14d6
d1f0 | 14d6
d200 | 4699
d210 | 49a8
d220 | 49da
d230 | 498f
d240 | 4a27
d250 | 4879
d260 | 4763
d270 | 4699
d280 | 4731
d290 | 495c
d2a0 | 4c07
d2b0 | 4c07
d2c0 | 492a
d2d0 | 467f
d2e0 | 467f
d2f0 | 4699
d300 | 4698
d310 | 49a8
d320 | 4a8c
d330 | 4a40
d340 | 16e8
d350 | 14d5
d360 | 14bc
d370 | 14d6
d380 | 14ef
d390 | 16e8
d3a0 | 4a0e
d3b0 | 4a40
d3c0 | 49da
d3d0 | 46e4
d3e0 | 46e5
d3f0 | 46fe
d400 | 14d6
d410 | 1702
d420 | 4af0
d430 | 4a8c
d440 | 16e8
d450 | 14bc
d460 | 14d6
d470 | 14bc
d480 | 4717
d490 | 4a0e
d4a0 | 16e9
d4b0 | 16e8
d4c0 | 16e8
d4d0 | 171b
d4e0 | 171b
d4f0 | 171b
d500 | 4b6f
d510 | 4af0
d520 | 171a
d530 | 1734
d540 | 4943
d550 | 492a
d560 | 171b
d570 | 171b
d580 | 4abe
d590 | 4abe
d5a0 | 4b56
d5b0 | 495c
d5c0 | 49a8
d5d0 | 498f
d5e0 | 4943
d5f0 | 495d
d600 | 171b
d610 | 171a
d620 | 498f
d630 | 495c
d640 | 4a40
d650 | 4c6c
d660 | 171b
d670 | 171b
d680 | 4929
d690 | 498f
d6a0 | 171b
d6b0 | 1799
d6c0 | 4abe
d6d0 | 4b0a
d6e0 | 1701
d6f0 | 1702
d700 | 1701
d710 | 1701
d720 | 1701
d730 | 1831
d740 | 492a
d750 | 4976
d760 | 171b
d770 | 1701
d780 | 171b
d790 | 171b
d7a0 | 4a8c
d7b0 | 49f4
d7c0 | 171b
d7d0 | 15d2
d7e0 | 482e
d7f0 | 485f
d800 | 15eb
d810 | 1701
d820 | 49a8
d830 | 4aa5
d840 | 4a0d
d850 | 4910
d860 | 4879
d870 | 4860
d880 | 485f
d890 | 495c
d8a0 | 1701
d8b0 | 1701
d8c0 | 171a
d8d0 | 15eb
d8e0 | 15eb
d8f0 | 15ec
d900 | 15eb
d910 | 1701
d920 | 49da
d930 | 498f
d940 | 4910
d950 | 482d
d960 | 47fa
d970 | 48f8
d980 | 47fa
d990 | 4943
d9a0 | 171b
d9b0 | 1701
d9c0 | 4a0d
d9d0 | 492a
d9e0 | 495d
d9f0 | 49c1
da00 | 1604
da10 | 1701
da20 | 171b
da30 | 171b
da40 | 1702
da50 | 15eb
da60 | 1604
da70 | 1605
da80 | 49a8
da90 | 4a59
daa0 | 4af1
dab0 | 4a72
dac0 | 171b
dad0 | 1701
dae0 | 49f4
daf0 | 49db
db00 | 1702
db10 | 17fe
db20 | 1817
db30 | 17fe
db40 | 17fe
db50 | 16e8
db60 | 16e8
db70 | 1702
db80 | 49a8
db90 | 4a59
dba0 | 4abe
dbb0 | 4a8b
dbc0 | 4bbb
dbd0 | 4975
dbe0 | 495c
dbf0 | 498f
dc00 | 4943
dc10 | 4abf
dc20 | 4b0a
dc30 | 4b70
dc40 | 4a8c
dc50 | 47fa
dc60 | 4550
dc70 | 485f
dc80 | 48ab
dc90 | 4814
dca0 | 485f
dcb0 | 48ab
dcc0 | 45e8
dcd0 | 464d
dce0 | 45e7
dcf0 | 45cf
dd00 | 456a
dd10 | 4569
dd20 | 464d
dd30 | 48f7
dd40 | 16ce
dd50 | 13c0
dd60 | 13a6
dd70 | 13a6
dd80 | 4537
dd90 | 47e1
dda0 | 15ec
ddb0 | 15d2
ddc0 | 48f7
ddd0 | 4601
dde0 | 13c0
ddf0 | 13bf
de00 | 46cb
de10 | 498f
de20 | 15d2
de30 | 15eb
de40 | 15d2
de50 | 13c0
de60 | 13bf
de70 | 13c0
de80 | 13bf
de90 | 15d2
dea0 | 47c8
deb0 | 4813
dec0 | 4943
ded0 | 4763
dee0 | 4666
def0 | 46b2
df00 | 4633
df10 | 4b24
df20 | 498f
df30 | 4a26
df40 | 1701
df50 | 14d6
df60 | 14bc
df70 | 14bc
df80 | 14d5
df90 | 1702
dfa0 | 4b0a
dfb0 | 4aa5
dfc0 | 4a40
dfd0 | 47af
dfe0 | 482d
dff0 | 485f
e000 | 14bc
e010 | 1701
e020 | 4976
e030 | 4911
e040 | 1702
e050 | 14bc
e060 | 14a3
e070 | 14d5
e080 | 46b2
e090 | 495c
e0a0 | 4bd5
e0b0 | 4a27
e0c0 | 48de
e0d0 | 46b2
e0e0 | 4795
e0f0 | 4749
e100 | 14bc
e110 | 16e9
e120 | 1702
e130 | 1701
e140 | 4bbb
e150 | 4717
e160 | 14d6
e170 | 14d5
e180 | 46fe
e190 | 49f4
e1a0 | 4c39
e1b0 | 4a40
e1c0 | 49a8
e1d0 | 498f
e1e0 | 4a8c
e1f0 | 4aa5
e200 | 171b
e210 | 1734
e220 | 171b
e230 | 1701
e240 | 498f
e250 | 4976
e260 | 495c
e270 | 4911
e280 | 4976
e290 | 4975
e2a0 | 4ba2
e2b0 | 4bbb
e2c0 | 171a
e2d0 | 171a
e2e0 | 171b
e2f0 | 171b
e300 | 4b56
e310 | 4af1
e320 | 171b
e330 | 171b
e340 | 1701
e350 | 171a
e360 | 492a
e370 | 4a0d
e380 | 1702
e390 | 171a
e3a0 | 498f
e3b0 | 49f4
e3c0 | 171b
e3d0 | 1702
e3e0 | 1702
e3f0 | 1701
e400 | 49f4
e410 | 492a
e420 | 4ad8
e430 | 4a59
e440 | 16e8
e450 | 1734
e460 | 4a73
e470 | 4976
e480 | 171a
e490 | 171a
e4a0 | 4a59
e4b0 | 492a
e4c0 | 4a72
e4d0 | 4892
e4e0 | 4892
e4f0 | 4879
e500 | 15ec
e510 | 17b2
e520 | 4910
e530 | 49db
e540 | 1701
e550 | 15eb
e560 | 49db
e570 | 4943
e580 | 15ec
e590 | 171b
e5a0 | 49f4
e5b0 | 4a40
e5c0 | 16e8
e5d0 | 15eb
e5e0 | 1604
e5f0 | 15eb
e600 | 4910
e610 | 49f4
e620 | 495c
e630 | 49a8
e640 | 498f
e650 | 48c5
e660 | 15ec
e670 | 1604
e680 | 48f7
e690 | 4a40
e6a0 | 4aa5
e6b0 | 49c2
e6c0 | 4b88
e6d0 | 48f8
e6e0 | 1605
e6f0 | 15ec
e700 | 1605
e710 | 171a
e720 | 49f4
e730 | 49f4
e740 | 171b
e750 | 1605
e760 | 48ab
e770 | 4846
e780 | 15eb
e790 | 1701
e7a0 | 171a
e7b0 | 1702
e7c0 | 4c39
e7d0 | 4b24
e7e0 | 49f4
e7f0 | 498f
e800 | 4a27
e810 | 4c20
e820 | 4b56
e830 | 4b0a
e840 | 4a8b
e850 | 495d
e860 | 16e8
e870 | 16e8
e880 | 1701
e890 | 1818
e8a0 | 4b3c
e8b0 | 4c07
e8c0 | 4af1
e8d0 | 4a27
e8e0 | 49c1
e8f0 | 498f
e900 | 16e8
e910 | 17fe
e920 | 4a72
e930 | 4af1
e940 | 17fe
e950 | 15d2
e960 | 13a6
e970 | 15eb
e980 | 4892
e990 | 4846
e9a0 | 47e2
e9b0 | 47c8
e9c0 | 13bf
e9d0 | 13a6
e9e0 | 13c0
e9f0 | 13a6
ea00 | 13a6
ea10 | 13bf
ea20 | 13a6
ea30 | 1605
ea40 | 4879
ea50 | 4537
ea60 | 4550
ea70 | 4550
ea80 | 13a6
ea90 | 15d2
eaa0 | 48de
eab0 | 4944
eac0 | 15ec
ead0 | 13a6
eae0 | 45b5
eaf0 | 46e5
eb00 | 4569
eb10 | 47e1
eb20 | 4847
eb30 | 4846
eb40 | 15d2
eb50 | 13bf
eb60 | 13a6
eb70 | 13a6
eb80 | 13a6
eb90 | 15eb
eba0 | 15ec
ebb0 | 15d2
ebc0 | 15d3
ebd0 | 14d6
ebe0 | 14d6
ebf0 | 14d5
ec00 | 14d5
ec10 | 1701
ec20 | 1701
ec30 | 1701
ec40 | 171a
ec50 | 14bc
ec60 | 4699
ec70 | 461a
ec80 | 46b2
ec90 | 49f4
eca0 | 498f
ecb0 | 49c2
ecc0 | 4a40
ecd0 | 4763
ece0 | 48ab
ecf0 | 46fe
ed00 | 14d6
ed10 | 1701
ed20 | 4abe
ed30 | 4a8b
ed40 | 1702
ed50 | 14bd
ed60 | 45e8
ed70 | 46e4
ed80 | 14d5
ed90 | 1701
eda0 | 495c
edb0 | 495d
edc0 | 4af1
edd0 | 4749
ede0 | 474a
edf0 | 46fe
ee00 | 14bc
ee10 | 16e8
ee20 | 4911
ee30 | 4943
ee40 | 16e9
ee50 | 14d5
ee60 | 14bc
ee70 | 14d5
ee80 | 14bc
ee90 | 16e8
eea0 | 1701
eeb0 | 1701
eec0 | 48f7
eed0 | 492a
eee0 | 4a40
eef0 | 49db
ef00 | 49f4
ef10 | 4a40
ef20 | 492a
ef30 | 498f
ef40 | 171b
ef50 | 1701
ef60 | 171b
ef70 | 171a
ef80 | 1702
ef90 | 171a
efa0 | 4a40
efb0 | 4aa5
efc0 | 4a3f
efd0 | 4aa5
efe0 | 4943
eff0 | 4976
f000 | 49c2
f010 | 49a8
f020 | 4911
f030 | 4976
f040 | 1701
f050 | 171b
f060 | 4b56
f070 | 4b3c
f080 | 498f
f090 | 495d
f0a0 | 495c
f0b0 | 498f
f0c0 | 1702
f0d0 | 1701
f0e0 | 495d
f0f0 | 498f
f100 | 1702
f110 | 1702
f120 | 49db
f130 | 4abf
f140 | 1702
f150 | 1701
f160 | 4976
f170 | 4910
f180 | 4943
f190 | 4943
f1a0 | 1702
f1b0 | 171b
f1c0 | 4a72
f1d0 | 4a0e
f1e0 | 15d2
f1f0 | 15d2
f200 | 15d3
f210 | 16e8
f220 | 48f7
f230 | 492a
f240 | 4aa5
f250 | 48c5
f260 | 482d
f270 | 482d
f280 | 15ec
f290 | 16e8
f2a0 | 492a
f2b0 | 4943
f2c0 | 4975
f2d0 | 4814
f2e0 | 4795
f2f0 | 47fa
f300 | 15ec
f310 | 171b
f320 | 4a72
f330 | 4a0e
f340 | 1702
f350 | 1605
f360 | 48f7
f370 | 4a59
f380 | 1604
f390 | 1702
f3a0 | 4975
f3b0 | 48c4
f3c0 | 171b
f3d0 | 1605
f3e0 | 1605
f3f0 | 1605
f400 | 49db
f410 | 4b3d
f420 | 171b
f430 | 1733
f440 | 48f7
f450 | 47fa
f460 | 1604
f470 | 15ec
f480 | 15eb
f490 | 171b
f4a0 | 1702
f4b0 | 171b
f4c0 | 49c2
f4d0 | 49f4
f4e0 | 16e8
f4f0 | 1702
f500 | 4b0a
f510 | 4c07
f520 | 17fe
f530 | 17fe
f540 | 4b70
f550 | 4a27
f560 | 16e8
f570 | 16e8
f580 | 49a8
f590 | 4aa5
f5a0 | 4ba2
f5b0 | 4ba2
f5c0 | 4af1
f5d0 | 49c2
f5e0 | 4a26
f5f0 | 4a0d
f600 | 4943
f610 | 4af1
f620 | 17fe
f630 | 17fe
f640 | 4b0a
f650 | 48de
f660 | 13a6
f670 | 15eb
f680 | 47fb
f690 | 4814
f6a0 | 4892
f6b0 | 482d
f6c0 | 45cf
f6d0 | 4569
f6e0 | 4601
f6f0 | 4601
f700 | 44ea
f710 | 4504
f720 | 4583
f730 | 4892
f740 | 15d2
f750 | 138c
f760 | 4537
f770 | 44eb
f780 | 4550
f790 | 482d
f7a0 | 4860
f7b0 | 4879
f7c0 | 4846
f7d0 | 456a
f7e0 | 1b59
f7f0 | 2359
f800 | 451e
f810 | 4814
f820 | 47c8
f830 | 47c8
f840 | 47e1
f850 | 44eb
f860 | 4a8c
f870 | 44d2
f880 | 4504
f890 | 4730
f8a0 | 47ae
f8b0 | 47c8
f8c0 | 482d
f8d0 | 46b2
f8e0 | 14d5
f8f0 | 14d5
f900 | 14bc
f910 | 171a
f920 | 49c1
f930 | 495d
f940 | 171b
f950 | 14d5
f960 | 4717
f970 | 498f
f980 | 4699
f990 | 49f4
f9a0 | 1701
f9b0 | 1702
f9c0 | 1701
f9d0 | 14bc
f9e0 | 14d5
f9f0 | 14d6
fa00 | 4847
fa10 | 49f4
fa20 | 16e8
fa30 | 1702
fa40 | 49db
fa50 | 46b2
fa60 | 4796
fa70 | 4814
fa80 | 4860
fa90 | 4aa5
faa0 | 16e8
fab0 | 16e8
fac0 | 16e8
fad0 | 14ee
fae0 | 14bc
faf0 | 14bc
fb00 | 14d5
fb10 | 1701
fb20 | 1701
fb30 | 1701
fb40 | 1702
fb50 | 14bc
fb60 | 14d6
fb70 | 14d5
fb80 | 46fd
fb90 | 4976
fba0 | 49a8
fbb0 | 48f8
fbc0 | 4a59
fbd0 | 4a59
fbe0 | 4b3d
fbf0 | 4a8b
fc00 | 49f4
fc10 | 49c1
fc20 | 171b
fc30 | 1734
fc40 | 49f4
fc50 | 4a0d
fc60 | 4abf
fc70 | 4a59
fc80 | 49c2
fc90 | 498f
fca0 | 4abf
fcb0 | 4a59
fcc0 | 1702
fcd0 | 1702
fce0 | 49f4
fcf0 | 4a27
fd00 | 4a72
fd10 | 4a40
fd20 | 495c
fd30 | 4a72
fd40 | 1701
fd50 | 171a
fd60 | 492a
fd70 | 495c
fd80 | 1734
fd90 | 171b
fda0 | 171b
fdb0 | 1701
fdc0 | 4976
fdd0 | 4abf
fde0 | 495c
fdf0 | 49a8
fe00 | 1702
fe10 | 16e8
fe20 | 4a40
fe30 | 4abe
fe40 | 1701
fe50 | 1701
fe60 | 4a73
fe70 | 4ad7
fe80 | 4abe
fe90 | 4ba2
fea0 | 49db
feb0 | 49f4
fec0 | 171a
fed0 | 15ec
fee0 | 4943
fef0 | 48de
ff00 | 47e1
ff10 | 498f
ff20 | 1702
ff30 | 1702
ff40 | 4a26
ff50 | 4879
ff60 | 15eb
ff70 | 1605
ff80 | 1604
ff90 | 1701
ffa0 | 4b6f
ffb0 | 4ad8
ffc0 | 1702
ffd0 | 15eb
ffe0 | 1605
